ID,CALL,CN,TYPE
06DDDCA9,D-0728,L7,LS-1 d
06DF0B08,G-CJBO,L7,LS-8 18
06DF231C,OY-XMO,L7,LS-4
06400E9B,G-BYWX,WX,Motorplane
064B511F,HB-3192,WX,Ventus 2
06A6AF18,N53LK,WX,Discus 2
06D021CA,D-KMWX,WX,JS-3 18M RES
06DD4F78,D-KUTE,WX,Duo Discus xlt
06DD82B4,D-4218,WX,Duo Discus
06DD89AE,OK-3759,WX,ASW-20
06DDE6E6,ZE594,WX,Twin Astir II
06DDF9D6,CC-KWX,WX,Mini Nimbus
06110B19,KrisWoz,KW,Paraglider
063E5D0A,D-KAKW,KW,Ventus 3M
063E7772,D-KKKW,KW,Ventus 2ct
0640535E,G-CJDG,KW,LS-6
064060E5,G-CGKW,KW,Motorplane
067CAD9E,VH-8KW,KW,LAK-17B FES
06D00E2E,F-CKIL,KW,JS-3 18M
06D01CAB,VH-GKW,KW,Mosquito
06DD827B,D-4790,KW,Valentin Kiwi
06DDA4B4,OK-3231,KW,Twin Astir I
06DDA999,OK 3945,KW,Twin Astir I
06DDAE7C,D-KIKW,KW,Discus t
06DDD42F,D-KKKW,KW,Ventus 2ct
06DDEBEC,HB-2172,KW,ASH-25
06DDECA1,D-7700,KW,ASH-25
06DDEDF9,OY-XKW,KW,ASW-20
06DDF002,HB-2172,KW,ASH-25
06DDF111,D-KHEM,KW,Ventus ct
06DF1624,D-1208,KW,Duo Discus
06D02D23,SP-4043,EMI,ASG-29E
06111C7D,AndyFow,AF,Paraglider
063D04AD,D-EAAF,AF,DA20 Katana
063E6E71,D-KHAF,AF,Ventus 3M
063EEDD9,D-3394,AF,LS-7
063EFC7D,D-7142,AF,Libelle Std
06480650,OM-9116,AF,L 13 SEH Vivat
06484EED,PH-1470,AF,ASH-31 MI
064B521A,HB-3443,AF,ASG-29
06C35001,IBISEK,AF,LS-1 f
06C35002,OK-9000,AF,LS-1 f
06D0059A,D-5840,AF,LS-6
06D00DBE,LV-EPU,AF,Genesis 2
06DD52CD,LV-X249,AF,Genesis 2
06DD87E4,D 9190,AF,Elfe S4
06DD8E5D,OE-5567,AF,ASW-15
06DD99E6,F-CFAF,AF,Janus B
06DDAA67,D-2903,AF,Duo Discus
06DDACB6,F-CGON,AF,Pegase
06DDAFC6,F-AYAF,AF,SZD-22 Mucha Standard
06DDB088,D-7970,AF,ASW-19
06DDC0FB,D-3783,AF,Nimbus 2
06DDC2DD,D-2159,AF,Libelle Std
06DDD474,AF,AF,ASW-24
06DDED5B,D-3783,AF,Nimbus 2
06DDEFD0,D-2659,AF,Ventus 2
06DF265E,D-1356,AF,LS-3
06A39070,N329HB,3F,Ventus 3F
06D01CE6,OH-1042,3F,Ventus 3F
06DD8A12,EC-IMC,3F,ASH-26 E
06DDA6DE,D-KHOL,3F,ASH-25
06DDA9BE,D-0115,3F,LS-4
06DF2450,D-KXBM,3F,JS-3 18M
063EF63F,D-5544,ZE,LS-4
063EFDFE,D-7527,ZE,ASW-27
0648649C,PH-1665,ZE,LAK-17 AT
064B51DC,HB-3381,ZE,ASW-28
06D00154,D-4095,ZE,LS-6
06D003FF,OK-3773,ZE,JS-3 18M
06DD83BD,D-3096,ZE,Cirrus Std
06DD9BC1,D-2363,ZE,ASK-23
06DDB53E,VH-GZE,ZE,Libelle Std
06DDEDA1,F-CGZE,ZE,LS-6
063E675D,D-KEIN,V8,Arcus T
064849A5,PH-1043,V8,Discus
06D001C4,HA-4495,V8,Ventus 2
06DD51E0,OY-XNV,V8,LS-4
06DD52B2,LV-EIV,V8,SZD-48-1 Jantar Std 2
06DD879C,D-KGKS,V8,ASH-26 E
06DDE1B4,OY-XNV,V8,LS-4
06DDEA07,VH-ZKT,V8,Ventus 2CX
06DDEC6E,D-KFIN,V8,Arcus T
06DDF0CE,LV-EIV,V8,SZD-48-3 Jantar Std 3
061A00E4,OE-VXW,JV,DJI Mini
063E6A23,D-KFJV,JV,HK36 Super Dimona
063E7D9A,PH-1697,JV,JS-3 18M
06BB6651,N6881,JV,Phoebus
06D003EA,FCGZX,JV,LS-6 18
06DD8646,D-KFJV,JV,HK36 Super Dimona
06DD94A5,D-KFJV,JV,HK36 Super Dimona
06DDDCB4,F-CLJV,JV,Duo Discus
06DDDD72,,JV,DG-600
06DDE636,D-KBLL,JV,DG-600
06213724,OKBUD22,LE,Alto 912 TG 
063E7964,D-KLEA,LE,miniLAK FES
0644E985,OO-ZLE,LE,Ventus 2cM
064B51BB,HB-3348,LE,ASW-27
06D00CA4,,LE,JS-3 15M
06D015A0,LY-GOI,LE,Nimbus 4
06D02C3E,OY-LXE,LE,LS-8
06DD5175,D-5231,LE,Ventus
06DD8EEE,OK-8660,LE,ASW-15
06DD9B16,F-CILE,LE,DG-500
06DDA43E,OK-0453,LE,Cirrus Std
06DDB1B9,OK-8745,LE,Speed Astir II
06DDDA2F,F-CPLE,LE,LAK-17 A
06DDDF6E,OE-5730,LE,DG-1000
06DDE223,VH-IQN,LE,Ventus 2
06DDFE0E,D-KCLE,LE,AVo 68 Samburo
06DF0226,D-8664,LE,Ventus 2CX
06F22724,OK-3300,LE,ASW-15
06101211,SP-GLAD,ZJ,SZD-56-2 Diana 2
06A726D9,N56ZJ,ZJ,SZD-56-2 Diana 2
