ID,CALL,CN,TYPE
06DDA702,D-7335,A3,ASK-21
06DDD20E,OY-PJX,A3,ASK-13
06DDDAB8,SE-TVX,A3,ASW-20
06DF1242,D-7731,A3,LS-3
063E5E8D,D-KAZT,SF,Antares 20 E
063E606D,D-KBSF,SF,Discus 2cFES
063ED7E1,D-KWSF,SF,Grob G109
063FF4CA,D-MHSF,SF,Ultralight
063FF938,D-MGSF,SF,WT9 Dynamic
06406AD5,G-sasf,SF,SF-25
0640727F,G-CLTW,SF,HPH 304S Shark
06484DD8,PH-567,SF,Astir CS
064ACE66,SE-SSF,SF,DG-1000
06AAEE98,N803SF,SF,ASH-31 MI
06AB6515,N833SF,SF,AS 33
06D002B1,SE-SSF,SF,DG-1000
06D00DD7,F-CKSF,SF,Discus 2c
06D02237,Ok-6011,SF,Twin Shark
06DD10FD,SE-USF,SF,LS-8a
06DD8509,F-CJVV,SF,SF-25
06DD96D5,,SF,Mini Nimbus
06DD9AA0,D-3270,SF,Ventus 2
06DD9C1B,D-1634,SF,ASW-19
06DDAE05,D-KZSF,SF,DG-400
06DDAF67,LN GSF,SF,Duo Discus t
06DDBF01,D-5709,SF,Libelle Std
06DDD93B,D-6699,SF,LS-8
06DDD9FE,F-CASF,SF,Twin Astir II
06DDDB35,SE-USF,SF,LS-8
06DDE3CD,D-KBSF,SF,Discus 2cFES
06DDF99B,F-CGSF,SF,Pegase
06DF1609,LV-ETB,SF,ASH-25 MI
06DF184C,D-1634,SF,ASW-19
06DF2044,D-7274,SF,LS-3
06DF20EF,D-KMSF,SF,Ventus ct
06DF22C0,F-CAGV,SF,LS-4 W
06DF2675,D-KFSF,SF,AS 33Me
06DF26F5,N833SF,SF,AS 33
06F90360,LY-BLR,SF,SF-27
063D3CC4,D-EVGM,GM,DR-400
063E6F14,D-KHGM,GM,Duo Discus xlt
063E7C48,D-KMGM,GM,Ventus 3M
0648645E,PH-MGM,GM,Ultralight
064C5347,G-LSGM,GM,LS-3
06A336B9,N306MK,GM,Libelle Std
06DD2714,I-AVAG,GM,Bergfalke III
06DD507A,D-EKGM,GM,PA-18 Super Cub
06DD9A22,D-KHGM,GM,Duo Discus xlt
06DDA763,D-3689,GM,Cirrus Std
06DDADCF,D-KBGM,GM,Valentin Taifun
06DDC247,D-6891,GM,Nimbus 2
06DDDD23,F-CAGM,GM,Discus
06DDDFEF,D-5966,GM,ASG-29
06DDE22D,F-CLVB,GM,Pegase
06DDE800,F-CIIJ,GM,JS-1 C21
06DDF929,D-8747,GM,Nimbus 2 C
06DF08B9,D-6831,GM,LS-3
06DF0C37,D-KPGM,GM,Ventus 2cxM
063E671A,D-KEFY,FY,SF-25
06401207,G-BDFY,FY,Grumman AA-5
064677DB,DMKFY,FY,Gyrocopter
064B519F,HB-3320,FY,LS-8 18
06D00932,OY-FXY,FY,Duo Discus
06D00D46,VH-GFY,FY,Discus
06D01026,D-1529,FY,ASH-25
06D0283D,D-KUFY,FY,Ventus 3M
06D02A1A,PH-956,FY,ASW-20
06DD1B93,SE-UFY,FY,ASK-21
06DD8315,OK-3755,FY,ASW-19
06DD8C42,D-MUFY,FY,Ultralight
06DDAB34,D-EBFY,FY,Towplane
06DDD861,OH-883,FY,LS-8 18
06DDDB24,D-8178,FY,LS-7
06DDDC9F,F-CHFY,FY,Pegase
06DDE5CB,SE-UFY,FY,ASK-21
06DDEDDA,HB-3320,FY,LS-8 18
06000111,I---AM,AM,Parachute
062001FD,AndyM88,AM,Paraglider
0628455E,D-2810,AM,LS-3
063E5BF9,D-KAAJ,AM,ASH-31 MI
063EC398,D-KPAM,AM,EB 29
0645B701,OY-MXA,AM,Arcus M
0647A631,AM,AM,Cirrus Std
064B5090,HB-3049,AM,ASH-25
06D00179,D-2810,AM,LS-3
06D00569,OM-2000,AM,Cirrus Std
06D00621,OE-XVT,AM,EC 135
06D00BDE,D-KMOS,AM,Arcus T
06D010C2,FM,AM,ASW-27
06D02159,OH-1018,AM,Arcus M
06DD8205,D-5804,AM,LS-1 d
06DD83F8,F-CHAM,AM,ASK-21
06DD87B8,OM3737,AM,Marianne
06DD88D7,,AM,ASW-20
06DD9D29,D-6605,AM,DG-300
06DDA69E,D-1575,AM,ASW-20
06DDAD1B,D-1290,AM,LS-4
06DDB100,F-CEAM,AM,ASK-13
06DDC204,LN-GAM,AM,ASK-21
06DDD554,F-CLAM,AM,ASK-13
06DDE477,G-DEAM,AM,Nimbus 2
06DDEA36,D-KTAM,AM,ASH-31 MI
06DDED33,G-KEAM,AM,ASH-26 E
06DDEE85,D-KHAM,AM,Nimbus 4DM
0600DDDB,D-KUBA,W,ASG-29E
0624A888,OM-5959,W,Cirrus Std
0638BF9B,F-CUBA,W,ASG-29E
06460644,SP-3857,W,SZD-51 Junior
06465BD2,OH-1026,W,Ventus 3T
064B4AA8,HB-1537,W,ASW-19
06ADE801,D-6944,W,Libelle Std
06D009BC,D-KAIB,W,Antares 18 T
06D00CC6,D-KKFM,W,DG-800
06D02CB6,OK-1977,W,DG-808 C
06DD52C3,LV-EQE,W,ASW-20
06DD9F8C,DRS,W,DG-800
06DDAC0C,D-6930,W,LS-4
06DDDCA6,D-6133,W,Hornet
06DDE266,D-2100,W,HPH 304C
06DDE310,F-CHKM,W,Pegase
06DDE47E,D-KXHI,W,ASG-29E
06DDE801,D-6944,W,Libelle Std
06DDEB83,OK-3833,W,Ventus c
06DDFD7E,D KIMO,W,Duo Discus t
06DF0389,D6780,W,Ventus 2
06DF0807,D-KFIX,W,JS-1 C21
06DF16B8,D-2225,W,LS-1 f
06DF21A9,N68Z,W,Nimbus 3
06F7FE59,W,W,SZD-48-1 Jantar Std 2
064B5067,HB-3008,CRN,ASW-24
0645AF01,OY-KXA,1A,LS-6 18
06569A0C,N69BG,1A,Astir CS
067C29C4,VH-IJA,1A,LS-8 18
06AA436F,N760VM,1A,ASH-31 MI
06D022CC,D-7659,1A,ASW-20
06DDA60C,D-3515,1A,LS-4
06DDA86A,D-3358,1A,LS-4 W
06DDDF1C,D-7902,1A,LS-3
06201E8B,OY62013,44,Paraglider
063E7791,D-KKMB,44,Ventus 2cxT
063EDDF5,D-KZAB,44,Ventus 3M
063EF0C7,D-4144,44,Twin Astir III
0640716C,GCLSZ,44,DG-808 B
06485C40,PH-1625,44,ASW-24
06AADCC2,N7997A,44,Slingsby Skylark 4
06C3087C,IGC-044,44,UFO
06D01497,D-6996,44,Ventus 2
06DD4F33,S5-7144,44,Blanik
06DD839D,D-6644,44,Astir Jeans
06DD8476,D-4544,44,LS-4
06DD84A5,D-XX44,44,ASK-21
06DDA328,D-4944,44,Mistral C
06DDA3CA,D-7444,44,Mosquito
06DDA4E1,G-CLSZ,44,DG-800
06DDA847,D-6544,44,SZD-9 Bocian
06DDAD04,D0044,44,DG-100
06DDAF95,D-6344,44,Hornet
06DDB012,D-0744,44,ASK-21
06DDB1DB,D-3344,44,LS-3
06DDC1BB,D-9144,44,ASK-21
06DDD2A6,D-XXXX,44,ASK-21
06DDD33B,D-2639,44,ASW-24
06DDD862,OO-YDJ,44,DG-505
06DDE2FE,D-2344,44,Ka-8
06DDE60B,SE_TVL,44,Pilatus B4
06DF08F4,OE-5744,44,DG-1000
06DF0E66,D-KMBB,44,Ventus 2cxM
06DF1882,D-1645,44,ASW-24
06000468,N818MB,XI,DG-808 B
062F4C13,OK-8441,XI,LET L-33 Solo
063952E8,F-GUXI,XI,DR-400
06400EA6,G-BYXI,XI,Motorplane
06403FC5,G-BXXI,XI,Grob G109
064B4DCD,XI,XI,DG-808 B
06D02B30,F-CBDO,XI,ASW-20
06D02B60,F-CERX,XI,ASW-20
06DDD8A7,F-CGXI,XI,Twin Astir III
06DDEE7A,HB-3325,XI,Ventus 2a
06F0AEAD,D-KIXI,XI,RF 4
063A3918,OM-1210,ZS,ASW-24
064A9B53,SE-FZS,ZS,Cessna 172
06C8221E,ZK-GZS,ZS,Discus 2
06DD4F96,OY-XZS,ZS,HK36 Super Dimona
06DDA66E,F-COZS,ZS,LS-1 f
06DDB1E3,F-CFZS,ZS,LS-4
06DDDD0F,OM-1210,ZS,ASW-24
06DDF066,OK-2016,ZS,Duo Discus t
06048604,C-FLYY,Y2,SGS 1-26
063EFEC1,D-7722,Y2,LS-3
06D00C74,YR-1020,Y2,LS-4
06D00FEC,YT,Y2,Discus
06DD8789,F-CHHB,Y2,Janus C
06DDBB19,G-KEDK,Y2,Discus t
06DDD213,D-7206,Y2,Duo Discus
06484977,PH-905,RSM,LS-4
064404BE,OE-5725,T5,LS-4
06484BB0,PH-798,T5,ASK-23
064B4E52,HB-2475,T5,Antares 20 E
06DDD2D2,D-4170,T5,Astir CS
06DDE3F6,G-RGTS,T5,Discus
0648447F,PH-1353,CX,Ventus 2cxT
06799423,OK-3458,CX,Ventus 2c
067C6AAF,VH-VCX,CX,Ventus 2cxM
06A091C3,N136CX,CX,DG-800
06D01C32,D-2600,CX,Discus 2
06D01C39,OK-7779,CX,ASW-20
06D01F5D,OK-7077,CX,Cirrus Std
06D02B90,F-CLCX,CX,JS-3 18M
06DD9A40,D8505,CX,LS-6
06DDD45F,F-CGCX,CX,ASK-23
06DDEA0F,D-KBCX,CX,Discus 2cT
06DDEA8E,D-KICX,CX,Ventus 2cxT
06DDFDD6,OK-7077,CX,Cirrus Std
06F905B5,OK-7077,CX,Cirrus Std
06003333,D-KKRZ,RZ,ASG-29E
063E6853,D-KERZ,RZ,ASH-26 E
063E782B,D-KKRZ,RZ,ASG-29E
06A01158,N992RZ,RZ,Ventus 2bx
06C81758,ZK-GRZ,RZ,Duo Discus
06D004F1,D-5920,RZ,ASW-20
06D01C8F,D-KDRZ,RZ,Ventus 3M
06DD8576,D-5879,RZ,Astir CS
06DD932F,OK-1428,RZ,DG-200
06DDB263,D-1301,RZ,Glasflugel H301
06DDD89E,F-CHRZ,RZ,PW-6
06DDE832,zs-gfx,RZ,JS-1 C18 Evo
063ED874,D-KWXW,XW,Ventus 3M
06D01DE2,F-SDXW,XW,Jodel D140
06D028CB,D-KWXW,XW,Ventus 3M
06DDE218,F-SDXW,XW,Jodel D140
06DDE68F,ZE632,XW,Twin Astir II
06DDE6D6,ZE632,XW,Twin Astir II
06DF2125,D-7734,XW,LS-3
063D3547,D-ESKT,KT,DA40
063F05B0,D-9497,KT,Cirrus Std
06403EA5,G-JCKT,KT,Stemme S-10
064060E2,G-CGKT,KT,Motorplane
06C80862,ZKGKT,KT,Mosquito
06D00D2F,OH-1043,KT,LS-7
06DD82EA,D-8156,KT,Kestrel
06DD9DC6,D-KBBT,KT,Discus 2cT
06DDA659,F-CGKT,KT,ASH-25
06DDADF8,D-3702,KT,Discus
06DDAE26,F-CHKT,KT,Pegase
06DDC456,DKDKT,KT,Discus 2cT
06DDD9AF,D-5989,KT,ASW-20
06DDF961,D-KIKT,KT,DG-400
06DF01F8,C-GNKT,KT,ASH-26 E
06DF08C4,D-KBKT,KT,ASG-29E
06DF0FA3,D-EAKT,KT,DR-400
06F91515,G-BUHR,KT,SF-25
063D04E1,D-EACF,CF,Other
063F06F8,D-9825,CF,ASH-25
06484C6C,PH-760,CF,ASK-23
06D00081,S5-3093,CF,DG-303
06D00D27,F-CHCF,CF,SF-25
06DD52C6,LV-DPN,CF,SZD-48-1 Jantar Std 2
06DD8206,D-6090,CF,DG-200
06DD88FE,OK-3112,CF,Janus A
06DD940A,D-7169,CF,Discus
06DDA602,D-4765,CF,PIK-20 D
06DDA74F,D-2885,CF,ASK-21
06DDC3DA,F-CECF,CF,Ka-6 e
06DDE4C0,D-KACF,CF,SF-25
06DDFD80,D-8729,CF,Twin Astir II
06DF0D29,F-CTCF,CF,Arcus M
06DF1869,D-8600,CF,DG-600
06DF2068,D-0405,CF,LS-4
06F51740,D-9236,CF,Libelle Std
061101E0,KoNy,KM,Paraglider
06201229,Av8tor,KM,Paraglider
06316550,C-GDXT,KM,PIK-20 B
0636A20C,D-MUKM,KM,Ultralight
063D329C,D-ERKM,KM,Bellanca Citabria
063E5D00,D-KAKM,KM,DG-1000 T
063E5FA4,D-KBKM,KM,ASH-26 E
063EEAE0,D-2633,KM,ASH-25
063FFB58,D-MEKM,KM,Bristell B23
064060DC,G-CGKM,KM,Motorplane
06485222,PH-1567,KM,LS-3
066EF6CC,D-MDKM,KM,Ultralight
06A36576,N318KM,KM,Ventus 3F
06A64D70,N505KM,KM,DG-505
06C04EFE,C-GDXT,KM,PIK-20 B
06D0099D,F-CAKM,KM,JS-3 18M
06D00AD6,D-7029,KM,LS-4
06D01CB1,D-KTKM,KM,DG-600 18M
06DD502A,SP-3448,KM,SZD-48-3 Jantar Std 3
06DD5244,SP-3448,KM,SZD-48-3 Jantar Std 3
06DD868A,D-3535,KM,Libelle Std
06DD8A4D,EC-GFD,KM,LS-6
06DD9479,,KM,Ground Station
06DDA842,KM01,KM,Ground Station
06DDA854,SP-3245,KM,SZD-51 Krokus
06DDC26F,D-6810,KM,Duo Discus
06DDC2B5,D-9877,KM,ASW-28
06DDDC76,OH-824,KM,SZD-55
06DDE1B0,OH-824,KM,SZD-55
06DF0251,D-KDRM,KM,ASW-27
06DF11BB,OE-5736,KM,DG-300
06DF2451,G-XLII,KM,ASG-29
060A0298,SN,SN,HangGlider
06393F36,OK-0970,SN,Cirrus Std
063ECE50,D-KTCA,SN,LS-8 st 18
063EEB98,D-2817,SN,LS-3
063FEE47,D-MJSN,SN,Ultralight
06484D88,PH-1095,SN,Twin Astir I
06C81180,ZK-GSN,SN,PW-5
06D003BC,F-CASN,SN,ASG-29E
06D011D5,D-MJSN,SN,Ultralight
06DDA82D,OE-9370,SN,Ventus cM
06DDE2CF,F-CGSN,SN,Pegase
06DF0CCB,D-2817,SN,LS-3
06DF1640,D-1984,SN,Cirrus Std
063ED770,D-KWNW,NW,Discus bT
064063CC,G-CGNW,NW,SF-25
06484751,PH-1112,NW,Janus CT
064B4E8C,HB-2533,NW,Discus 2cT
06D00CE4,OK-1623,NW,ASW-20
06DD51D5,ZK-GNW,NW,Grob G109
06DD8719,D-2643,NW,ASW-19
06DF25EA,D-7195,NW,DG-1000
063EEB7C,D-2789,GE,Ventus 2
063EED40,D-3241,GE,ASG-32 MI
0649B0F3,OK 5454,GE,HPH 304S Shark
064AD4E5,SE-UGE,GE,Astir Jeans
06830C7C,N177RF,GE,Cirrus Std
069DC560,N177RF,GE,Cirrus Std
06B67161,N177RF,GE,Cirrus Std
06C622A0,N177RF,GE,Cirrus Std
06C76DB4,N314GE,GE,PW-5
06D0046D,D-3241,GE,ASG-32 MI
06D0054A,OH-805,GE,LS-7
06DDAF14,D-2483,GE,ASW-24
06DDD35C,F-CKMA,GE,LS-6
06DDD8A5,F-CHGE,GE,Pegase
06DDE317,D-KALK,GE,Ventus 2cxT
06DDEB70,OK-2112,GE,Ventus c
06F52475,D-1170,GE,Kestrel
06000716,D-KZPP,PP,Arcus M
06113949,OK-5510,PP,VT-116 Orlik II
063E77ED,D-KKPP,PP,Ventus cM
063EDCE5,D-KYPP,PP,HK36 Super Dimona
063EDF89,D-KZPP,PP,Arcus M
06485C3B,PH-1626,PP,ASW-19
064B51E2,HB-3387,PP,Duo Discus
06D00A36,D-KBPP,PP,Ventus 2cxM
06D00C98,D-KBVF,PP,DG-808 B
06D01CC5,C-GFRM,PP,PIK-20 E
06D03425,SP-3978,PP,LS-3
06D4362B,Whizz22,PP,Paraglider
06DD0091,D-2360,PP,LS-4
06DD9CBB,D-7878,PP,LS-3
06DDA42E,D-3587,PP,ASW-24
06DDC0A4,OH-791,PP,ASW-24
06DDC1F1,OOZPP,PP,ASW-15
06DDC233,F-CERG,PP,Ka-8
06DDDDCC,OOZPP,PP,ASW-15
06DDEDF2,D-KKUR,PP,ASH-26 E
06DDEE95,D-KWPP,PP,Arcus T
06FD6FED,SP-,PP,SZD-51 Junior
