ID,CALL,CN,TYPE
06DDEAF7,D-3578,W8,LS-4
06000000,OK-7777,KN,HPH 304CZ-17
06110AAC,Klaus N,KN,Paraglider
063D1049,D-EEKN,KN,Cessna 172
063E6249,D-KCKN,KN,Discus 2cT
063E6294,D-KCKN,KN,Discus 2cT
064060DD,G-CGKN,KN,Motorplane
06D0193A,D-6938,KN,LS-3
06D02847,OK 7777,KN,Glasflugel 304
06DDA415,D-3759,KN,LS-8 18
06DDA813,D-KCKN,KN,Discus 2cT
06DDC094,SE-TKN,KN,Ka-8
06DDE453,OH-752,KN,SZD-51 Junior
063E5D21,D-KALT,LT,Nimbus 3DT
063ED495,D-KVLT,LT,Antares 20 E
063FEE16,,LT,Flight Design CTSW
064B4CEF,HB-2120,LT,Ventus ct
06AB7EFD,N84RF,LT,ASW-24
06D0072C,OKZ,LT,LS-8
06D01468,F-CKJN,LT,Duo Discus
06D015D8,OK-1919,LT,LAK-19 T
06D01F78,D-KULT,LT,DG-808 B
06DD8D3F,D-3803,LT,DG-100
06DDAC7C,D-3567,LT,Twin Astir II
06DDAE01,D-4961,LT,DG-505
06DDBAD8,D-KELT,LT,Duo Discus xt
06DDEA4B,D-3547,LT,LS-8
06DDECEB,,LT,ASW-20
06DDF9B3,G-CJHY,LT,LS-8 18
06DDFD5E,D-KTLT,LT,Ventus 2cxM
06DF1636,D-3478,LT,LS-4
06DF2061,,LT,ASW-20
06F65297,SP-3955,LT,SZD-55
06111583,Mufke,6,Paraglider
061142DC,WMI,6,Paraglider
064847E5,PH-322,6,Ka-6 cr
06BADA55,Sigma,6,Paraglider
06C307D0,IGC-006,6,UFO
06D0049F,,6,Discus 2
06D00B16,D-KRAG,6,Arcus M
06D0201F,D-KRAG,6,Arcus M
06DD5254,F-CBUN,6,ASW-28
06DDAD75,D-4127,6,Ka-6 e
06009025,ZS-GCI,JS,JS-1 B Revelation
0638E8DB,F-CGVS,JS,Libelle Std
063938DB,F-CAIF,JS,LAK-17 A
063E708E,D-KHVA,JS,Arcus M
0649B08D,OK-1999,JS,Ventus 3M
064B4D9A,HB-2291,JS,DG-808 B
067C75C6,VH-XJS,JS,LS-6
